ice_type,incidence_bin,incidence_angle_deg,n_observation_pixels,subset,channels,coarse_rms_mismatch_db,refined_rms_mismatch_db,improvement_db,status,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,roughness_at_bound,salinity_at_bound,thickness_at_bound,refinement_selected,optimizer_success,optimizer_message,optimizer_nfev,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db
MYI,30-33,32.51126496678771,8814,L_only,"L_HH,L_VV",12.948707574058679,12.948707574058679,0.0,clearly outside,0.0011814852045849,4.125,0.2,False,False,True,False,False,coarse-grid fallback,0,-23.469746375763027,-36.00699528204466,-12.537248906281636,-21.69715273441861,-35.04464109511438,-13.34748836069577,-16.52584048967992,-27.279571377235417,-10.753730887555498,-16.131401955527412,-26.234790753248586,-10.103388797721173
MYI,30-33,32.51126496678771,8814,S_only,"S_HH,S_VV",9.905121680564477,9.905121680564477,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-23.469746375763027,-36.21107090599834,-12.741324530235314,-21.69715273441861,-35.054906065234874,-13.357753330816266,-16.52584048967992,-26.815452934038664,-10.289612444358745,-16.131401955527412,-25.63649252629393,-9.50509057076652
MYI,30-33,32.51126496678771,8814,L_plus_S,"L_HH,L_VV,S_HH,S_VV",11.560037179234428,11.560037179234428,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-23.469746375763027,-36.18110410096772,-12.711357725204696,-21.69715273441861,-34.93756130120392,-13.240408566785312,-16.52584048967992,-26.896040962603976,-10.370200472924058,-16.131401955527412,-25.624017309526103,-9.49261535399869
MYI,45-48,47.16071344950986,16419,L_only,"L_HH,L_VV",13.614512399604877,13.614512399604877,0.0,clearly outside,0.0011814852045849,2.3125,5.033333333333333,False,False,False,False,False,coarse-grid fallback,0,-24.574913117369416,-39.41351129595012,-14.838598178580707,-24.6386278849818,-36.90752758514282,-12.268899700161022,-17.389598694349676,-30.69445411687199,-13.304855422522316,-17.35125077552915,-28.27460186327633,-10.923351087747182
MYI,45-48,47.16071344950986,16419,S_only,"S_HH,S_VV",11.952813917074158,11.952813917074158,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-24.574913117369416,-39.37541679072397,-14.800503673354552,-24.6386278849818,-37.19378947697731,-12.555161591995507,-17.389598694349676,-30.27102850564719,-12.881429811297515,-17.35125077552915,-28.296947970729597,-10.945697195200449
MYI,45-48,47.16071344950986,16419,L_plus_S,"L_HH,L_VV,S_HH,S_VV",12.867845055869271,12.867845055869271,0.0,clearly outside,0.0011814852045849,2.3125,3.1,False,False,False,False,False,coarse-grid fallback,0,-24.574913117369416,-39.36436139589128,-14.789448278521864,-24.6386278849818,-37.055997782854405,-12.417369897872604,-17.389598694349676,-30.45040762077583,-13.060808926426155,-17.35125077552915,-28.25180856635609,-10.90055779082694
MYI,48-51,49.886593950590274,8212,L_only,"L_HH,L_VV",15.149618133531655,15.149618133531655,0.0,clearly outside,0.0011814852045849,2.3125,5.033333333333333,False,False,False,False,False,coarse-grid fallback,0,-23.61321168620016,-40.13679870937092,-16.523587023170762,-23.72780309632658,-37.3657256313524,-13.637922535025819,-16.325219838751938,-31.445393199746714,-15.120173360994777,-17.38719824318103,-28.78459886567317,-11.397400622492142
MYI,48-51,49.886593950590274,8212,S_only,"S_HH,S_VV",13.157184009108088,13.157184009108088,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-23.61321168620016,-40.08315619507757,-16.46994450887741,-23.72780309632658,-37.67162993533429,-13.94382683900771,-16.325219838751938,-31.000479240597706,-14.675259401845768,-17.38719824318103,-28.826592614719956,-11.439394371538928
MYI,48-51,49.886593950590274,8212,L_plus_S,"L_HH,L_VV,S_HH,S_VV",14.247037947769986,14.247037947769986,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-23.61321168620016,-40.08315619507757,-16.46994450887741,-23.72780309632658,-37.67162993533429,-13.94382683900771,-16.325219838751938,-31.000479240597706,-14.675259401845768,-17.38719824318103,-28.826592614719956,-11.439394371538928
MYI,51-54,51.39909769922632,15907,L_only,"L_HH,L_VV",14.247798141471474,14.247798141471474,0.0,clearly outside,0.0011814852045849,2.3125,5.033333333333333,False,False,False,False,False,coarse-grid fallback,0,-25.10407079946073,-40.548607835673344,-15.444537036212616,-24.69592235843058,-37.63677934308553,-12.94085698465495,-17.001698189303465,-31.866402180661456,-14.864703991357992,-17.92819892856397,-29.075108060040705,-11.146909131476736
