incidence_bin,subset,firstyear_rms_db,multiyear_rms_db,best_porosity,improvement_multiyear_vs_firstyear_db
30-33,L_only,12.94870757405868,7.053798892320987,0.3,5.894908681737693
30-33,S_only,9.905121680564475,0.5891873298837934,0.3,9.315934350680681
30-33,L_plus_S,11.560037179234428,5.005158365276985,0.3,6.554878813957442
45-48,L_only,13.614512399604877,7.02192440623036,0.3,6.592587993374517
45-48,S_only,11.952813917074158,1.4839957422731134,0.3,10.468818174801044
45-48,L_plus_S,12.867845055869273,5.0749219565377715,0.3,7.792923099331501
48-51,L_only,15.149618133531655,8.442431935438902,0.3,6.707186198092753
48-51,S_only,13.157184009108088,2.489546286582394,0.3,10.667637722525694
48-51,L_plus_S,14.247037947769986,6.22384518194158,0.3,8.023192765828405
51-54,L_only,14.247798141471474,7.515575926883719,0.3,6.732222214587755
51-54,S_only,12.904669598317223,2.1772193603371477,0.3,10.727450237980076
51-54,L_plus_S,13.649262763990066,5.532818705496366,0.3,8.1164440584937
