ice_type,incidence_bin,incidence_angle_deg,optimized_subset,coarse_target_rms_db,refined_target_rms_db,target_improvement_db,L_only_rms_db,S_only_rms_db,L_plus_S_rms_db,joint_status,best_roughness_rms_m,best_surface_corr_length_m,best_salinity_ppt,best_ice_thickness_m,best_porosity,best_ice_corr_length_m,roughness_at_bound,surface_corr_at_bound,salinity_at_bound,thickness_at_bound,porosity_at_bound,ice_corr_at_bound,optimizer_success,optimizer_message,optimizer_nfev,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db
MYI,30-33,32.51126496678771,L_only,4.6823668477496065,4.6823668477496065,0.0,4.6823668477496065,2.6558491829693374,3.806448093668393,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-23.469746375763027,-26.865841669032175,-3.3960952932691484,-21.69715273441861,-27.381838772613182,-5.684686038194574,-16.52584048967992,-13.550885260925552,2.974955228754366,-16.131401955527412,-13.838650082283198,2.292751873244214
MYI,30-33,32.51126496678771,S_only,0.06157873872475623,0.06157873872475623,0.0,5.609126785071046,0.06157873872475623,3.966490591950546,marginal,0.003,0.015,2.5,3.0,0.3,0.0008,True,False,False,True,True,True,False,coarse-grid fallback,0,-23.469746375763027,-27.986049184746943,-4.516302808983916,-21.69715273441861,-28.218472809339552,-6.5213200749209435,-16.52584048967992,-16.454407206141568,0.07143328353835088,-16.131401955527412,-16.181213280833944,-0.049811325306531984
MYI,30-33,32.51126496678771,L_plus_S,3.806448093668393,3.806448093668393,0.0,4.6823668477496065,2.6558491829693374,3.806448093668393,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-23.469746375763027,-26.865841669032175,-3.3960952932691484,-21.69715273441861,-27.381838772613182,-5.684686038194574,-16.52584048967992,-13.550885260925552,2.974955228754366,-16.131401955527412,-13.838650082283198,2.292751873244214
MYI,45-48,47.16071344950986,L_only,4.272295606467846,4.272295606467846,0.0,4.272295606467846,1.6709749701136078,3.243814660225722,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-24.574913117369416,-28.50339786731049,-3.9284847499410738,-24.6386278849818,-29.229055650187277,-4.590427765205476,-17.389598694349676,-15.553042617169544,1.8365560771801324,-17.35125077552915,-15.86418101359292,1.4870697619362279
MYI,45-48,47.16071344950986,S_only,0.7482680582645288,3.785973561431039e-09,0.7482680544785553,5.317941766965691,3.785973561431039e-09,3.7603526853766107,marginal,0.0029172830229353673,0.015921086851294442,1.4414875515039374,2.58438470010084,0.2751663795272363,0.0007928090692061944,False,False,False,False,False,False,True,Optimization terminated successfully.,4456,-24.574913117369416,-29.752665385919606,-5.17775226855019,-24.6386278849818,-30.093157261490806,-5.454529376509004,-17.389598694349676,-17.38959869766597,-3.316294794331043e-09,-17.35125077552915,-17.351250779732645,-4.203496217769498e-09
MYI,45-48,47.16071344950986,L_plus_S,3.243814660225722,3.243814660225722,0.0,4.272295606467846,1.6709749701136078,3.243814660225722,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-24.574913117369416,-28.50339786731049,-3.9284847499410738,-24.6386278849818,-29.229055650187277,-4.590427765205476,-17.389598694349676,-15.553042617169544,1.8365560771801324,-17.35125077552915,-15.86418101359292,1.4870697619362279
MYI,48-51,49.886593950590274,L_only,5.645915544137596,5.645915544137596,0.0,5.645915544137596,0.7610199523276843,4.028369006147237,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-23.61321168620016,-28.944259153042545,-5.331047466842385,-23.72780309632658,-29.671931086986138,-5.94412799065956,-16.325219838751938,-16.076593522806277,0.24862631594566054,-17.38719824318103,-16.340065161523807,1.047133081657222
MYI,48-51,49.886593950590274,S_only,0.21346221603194343,0.07404134170966017,0.13942087432228326,7.622307124195693,0.07404134170966017,5.390039332687961,clearly outside,0.00025000000035906033,0.04999999984229396,1.0000034972055012,2.2064989614237094,0.29999400604090415,0.0007999960558700505,True,True,True,False,True,True,True,Optimization terminated successfully.,613,-23.61321168620016,-30.51530837329333,-6.90209668709317,-23.72780309632658,-32.00791137539795,-8.280108279071374,-16.325219838751938,-16.410985337647748,-0.08576549889581031,-17.38719824318103,-17.327127287108347,0.06007095607268198
MYI,48-51,49.886593950590274,L_plus_S,4.028369006147237,4.028369006147237,0.0,5.645915544137596,0.7610199523276843,4.028369006147237,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-23.61321168620016,-28.944259153042545,-5.331047466842385,-23.72780309632658,-29.671931086986138,-5.94412799065956,-16.325219838751938,-16.076593522806277,0.24862631594566054,-17.38719824318103,-16.340065161523807,1.047133081657222
MYI,51-54,51.39909769922632,L_only,4.71119199956603,4.71119199956603,0.0,4.71119199956603,1.0158311584243425,3.4078763914790624,marginal,0.003,0.015,1.0,3.0,0.3,0.0008,True,False,True,True,True,True,False,coarse-grid fallback,0,-25.10407079946073,-29.217015197911795,-4.1129443984510665,-24.69592235843058,-29.937520253042482,-5.241597894611903,-17.001698189303465,-16.39794733846885,0.603750850834615,-17.92819892856397,-16.624622772381308,1.303576156182661
